Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales
192,CA-2016-102281,2016-12-10,14/10/2016,First Class,MP-17470,Mark Packer,Home Office,United States,New York City,New York,10035.0,East,OFF-PA-10000061,Office Supplies,Paper,Xerox 205,51.84
193,CA-2016-102281,2016-12-10,14/10/2016,First Class,MP-17470,Mark Packer,Home Office,United States,New York City,New York,10035.0,East,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",626.352
194,CA-2016-102281,2016-12-10,14/10/2016,First Class,MP-17470,Mark Packer,Home Office,United States,New York City,New York,10035.0,East,OFF-AR-10003514,Office Supplies,Art,4009 Highlighters by Sanford,19.9
202,CA-2015-133690,2015-03-08,05/08/2015,First Class,BS-11755,Bruce Stewart,Consumer,United States,Denver,Colorado,80219.0,West,FUR-TA-10004289,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,218.75
203,CA-2015-133690,2015-03-08,05/08/2015,First Class,BS-11755,Bruce Stewart,Consumer,United States,Denver,Colorado,80219.0,West,OFF-AP-10003622,Office Supplies,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",2.6
212,CA-2016-101007,2016-09-02,13/02/2016,Second Class,MS-17980,Michael Stewart,Corporate,United States,Dallas,Texas,75220.0,Central,TEC-AC-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 GB,20.8
213,CA-2016-146262,2016-02-01,09/01/2016,Standard Class,VW-21775,Victoria Wilson,Corporate,United States,Medina,Ohio,44256.0,East,OFF-LA-10004544,Office Supplies,Labels,Avery 505,23.68
214,CA-2016-146262,2016-02-01,09/01/2016,Standard Class,VW-21775,Victoria Wilson,Corporate,United States,Medina,Ohio,44256.0,East,FUR-BO-10004695,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,452.45
215,CA-2016-146262,2016-02-01,09/01/2016,Standard Class,VW-21775,Victoria Wilson,Corporate,United States,Medina,Ohio,44256.0,East,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,62.982
216,CA-2016-146262,2016-02-01,09/01/2016,Standard Class,VW-21775,Victoria Wilson,Corporate,United States,Medina,Ohio,44256.0,East,TEC-MA-10000864,Technology,Machines,Cisco 9971 IP Video Phone Charcoal,1188.0
217,CA-2016-146262,2016-02-01,09/01/2016,Standard Class,VW-21775,Victoria Wilson,Corporate,United States,Medina,Ohio,44256.0,East,TEC-AC-10000109,Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,89.584
226,CA-2016-163055,2016-09-08,16/08/2016,Standard Class,DS-13180,David Smith,Corporate,United States,Detroit,Michigan,48227.0,Central,OFF-AR-10001026,Office Supplies,Art,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",2.2
227,CA-2016-163055,2016-09-08,16/08/2016,Standard Class,DS-13180,David Smith,Corporate,United States,Detroit,Michigan,48227.0,Central,FUR-TA-10003748,Furniture,Tables,Bevis 36 x 72 Conference Tables,622.45
228,CA-2016-163055,2016-09-08,16/08/2016,Standard Class,DS-13180,David Smith,Corporate,United States,Detroit,Michigan,48227.0,Central,OFF-ST-10002485,Office Supplies,Storage,Rogers Deluxe File Chest,21.98
245,CA-2015-131926,2015-01-06,06/06/2015,Second Class,DW-13480,Dianna Wilson,Home Office,United States,Lakeville,Minnesota,55044.0,Central,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2001.86
246,CA-2015-131926,2015-01-06,06/06/2015,Second Class,DW-13480,Dianna Wilson,Home Office,United States,Lakeville,Minnesota,55044.0,Central,OFF-ST-10002276,Office Supplies,Storage,Safco Steel Mobile File Cart,166.72
247,CA-2015-131926,2015-01-06,06/06/2015,Second Class,DW-13480,Dianna Wilson,Home Office,United States,Lakeville,Minnesota,55044.0,Central,OFF-PA-10004082,Office Supplies,Paper,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",47.88
248,CA-2015-131926,2015-01-06,06/06/2015,Second Class,DW-13480,Dianna Wilson,Home Office,United States,Lakeville,Minnesota,55044.0,Central,OFF-AP-10002945,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,1503.25
249,CA-2015-131926,2015-01-06,06/06/2015,Second Class,DW-13480,Dianna Wilson,Home Office,United States,Lakeville,Minnesota,55044.0,Central,OFF-PA-10000061,Office Supplies,Paper,Xerox 205,25.92
266,CA-2016-155040,2016-10-11,15/11/2016,Standard Class,AH-10210,Alan Hwang,Consumer,United States,Brentwood,California,94513.0,West,TEC-AC-10004469,Technology,Accessories,Microsoft Sculpt Comfort Mouse,79.9
283,CA-2016-130890,2016-02-11,06/11/2016,Standard Class,JO-15280,Jas O'Carroll,Consumer,United States,Los Angeles,California,90004.0,West,FUR-TA-10002903,Furniture,Tables,"Bevis Round Bullnose 29"" High Table Top",1038.84
305,CA-2016-144253,2016-04-05,09/05/2016,Second Class,AS-10225,Alan Schoenberger,Corporate,United States,New York City,New York,10024.0,East,FUR-FU-10002671,Furniture,Furnishings,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,26.8
307,CA-2015-111003,2015-01-06,06/06/2015,Standard Class,CR-12625,Corey Roper,Home Office,United States,Lakewood,New Jersey,8701.0,East,OFF-BI-10001072,Office Supplies,Binders,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",45.48
308,CA-2015-111003,2015-01-06,06/06/2015,Standard Class,CR-12625,Corey Roper,Home Office,United States,Lakewood,New Jersey,8701.0,East,OFF-AR-10002135,Office Supplies,Art,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,289.2
315,CA-2015-167850,2015-09-08,16/08/2015,Standard Class,AG-10525,Andy Gerbode,Corporate,United States,Saint Petersburg,Florida,33710.0,South,TEC-PH-10002398,Technology,Phones,AT&T 1070 Corded Phone,178.384
316,CA-2015-167850,2015-09-08,16/08/2015,Standard Class,AG-10525,Andy Gerbode,Corporate,United States,Saint Petersburg,Florida,33710.0,South,OFF-PA-10001937,Office Supplies,Paper,Xerox 21,15.552
318,CA-2015-164973,2015-04-11,09/11/2015,Standard Class,NM-18445,Nathan Mautz,Home Office,United States,New York City,New York,10024.0,East,FUR-CH-10002602,Furniture,Chairs,DMI Arturo Collection Mission-style Design Wood Chair,135.882
319,CA-2015-164973,2015-04-11,09/11/2015,Standard Class,NM-18445,Nathan Mautz,Home Office,United States,New York City,New York,10024.0,East,TEC-MA-10002927,Technology,Machines,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,3991.98
320,CA-2015-164973,2015-04-11,09/11/2015,Standard Class,NM-18445,Nathan Mautz,Home Office,United States,New York City,New York,10024.0,East,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,275.94
321,CA-2015-164973,2015-04-11,09/11/2015,Standard Class,NM-18445,Nathan Mautz,Home Office,United States,New York City,New York,10024.0,East,TEC-AC-10000892,Technology,Accessories,NETGEAR N750 Dual Band Wi-Fi Gigabit Router,360.0
322,CA-2015-164973,2015-04-11,09/11/2015,Standard Class,NM-18445,Nathan Mautz,Home Office,United States,New York City,New York,10024.0,East,OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",43.57
335,CA-2016-137946,2016-01-09,04/09/2016,Second Class,DB-13615,Doug Bickford,Consumer,United States,Los Angeles,California,90045.0,West,OFF-BI-10001922,Office Supplies,Binders,Storex Dura Pro Binders,4.752
336,CA-2016-137946,2016-01-09,04/09/2016,Second Class,DB-13615,Doug Bickford,Consumer,United States,Los Angeles,California,90045.0,West,TEC-CO-10001449,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,959.984
337,CA-2016-137946,2016-01-09,04/09/2016,Second Class,DB-13615,Doug Bickford,Consumer,United States,Los Angeles,California,90045.0,West,OFF-BI-10004140,Office Supplies,Binders,Avery Non-Stick Binders,14.368
338,CA-2015-129924,2015-12-07,17/07/2015,Standard Class,AC-10420,Alyssa Crouse,Corporate,United States,San Francisco,California,94122.0,West,OFF-BI-10003314,Office Supplies,Binders,Tuff Stuff Recycled Round Ring Binders,7.712
339,CA-2015-129924,2015-12-07,17/07/2015,Standard Class,AC-10420,Alyssa Crouse,Corporate,United States,San Francisco,California,94122.0,West,FUR-TA-10004575,Furniture,Tables,Hon 5100 Series Wood Tables,698.352
387,CA-2016-122756,2016-03-12,07/12/2016,Standard Class,DK-13225,Dean Katz,Corporate,United States,Philadelphia,Pennsylvania,19140.0,East,TEC-MA-10001681,Technology,Machines,Lexmark MarkNet N8150 Wireless Print Server,482.34
388,CA-2016-122756,2016-03-12,07/12/2016,Standard Class,DK-13225,Dean Katz,Corporate,United States,Philadelphia,Pennsylvania,19140.0,East,FUR-FU-10001935,Furniture,Furnishings,3M Hangers With Command Adhesive,2.96
394,US-2015-134971,2015-07-06,10/06/2015,Second Class,BP-11095,Bart Pistole,Corporate,United States,Peoria,Illinois,61604.0,Central,OFF-BI-10003982,Office Supplies,Binders,Wilson Jones Century Plastic Molded Ring Binders,12.462
428,CA-2015-101476,2015-12-09,13/09/2015,First Class,SD-20485,Shirley Daniels,Home Office,United States,New Rochelle,New York,10801.0,East,TEC-MA-10000029,Technology,Machines,"Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner",69.99
457,US-2015-110674,2015-12-02,18/02/2015,Standard Class,SC-20095,Sanjit Chand,Consumer,United States,Concord,California,94521.0,West,FUR-CH-10000225,Furniture,Chairs,"Global Geo Office Task Chair, Gray",129.568
472,CA-2015-144666,2015-09-11,11/11/2015,Second Class,JP-15520,Jeremy Pistek,Consumer,United States,San Francisco,California,94110.0,West,OFF-ST-10002743,Office Supplies,Storage,SAFCO Boltless Steel Shelving,340.92
473,CA-2015-144666,2015-09-11,11/11/2015,Second Class,JP-15520,Jeremy Pistek,Consumer,United States,San Francisco,California,94110.0,West,FUR-BO-10001601,Furniture,Bookcases,"Sauder Mission Library with Doors, Fruitwood Finish",222.666
474,CA-2015-144666,2015-09-11,11/11/2015,Second Class,JP-15520,Jeremy Pistek,Consumer,United States,San Francisco,California,94110.0,West,TEC-PH-10002680,Technology,Phones,Samsung Galaxy Note 3,703.968
475,CA-2015-144666,2015-09-11,11/11/2015,Second Class,JP-15520,Jeremy Pistek,Consumer,United States,San Francisco,California,94110.0,West,OFF-ST-10001321,Office Supplies,Storage,"Decoflex Hanging Personal Folder File, Blue",92.52
476,CA-2015-144666,2015-09-11,11/11/2015,Second Class,JP-15520,Jeremy Pistek,Consumer,United States,San Francisco,California,94110.0,West,OFF-PA-10001509,Office Supplies,Paper,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",62.65
477,CA-2015-144666,2015-09-11,11/11/2015,Second Class,JP-15520,Jeremy Pistek,Consumer,United States,San Francisco,California,94110.0,West,OFF-PA-10003465,Office Supplies,Paper,Xerox 1912,94.85
482,CA-2015-134677,2015-06-10,10/10/2015,Standard Class,XP-21865,Xylona Preis,Consumer,United States,San Diego,California,92024.0,West,TEC-AC-10001445,Technology,Accessories,ImationÂ USB 2.0 SwivelÂ Flash DriveÂ USBÂ flash driveÂ - 4 GB - Pink,9.09
489,CA-2015-133753,2015-09-06,13/06/2015,Second Class,CW-11905,Carl Weiss,Home Office,United States,Huntsville,Texas,77340.0,Central,TEC-PH-10000376,Technology,Phones,Square Credit Card Reader,7.992
490,CA-2015-133753,2015-09-06,13/06/2015,Second Class,CW-11905,Carl Weiss,Home Office,United States,Huntsville,Texas,77340.0,Central,TEC-AC-10000303,Technology,Accessories,Logitech M510 Wireless Mouse,63.984
491,CA-2015-133753,2015-09-06,13/06/2015,Second Class,CW-11905,Carl Weiss,Home Office,United States,Huntsville,Texas,77340.0,Central,OFF-AR-10001953,Office Supplies,Art,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,70.368
529,US-2016-138303,2016-03-09,07/09/2016,Standard Class,MG-18145,Mike Gockenbach,Consumer,United States,Philadelphia,Pennsylvania,19134.0,East,OFF-ST-10004963,Office Supplies,Storage,Eldon Gobal File Keepers,36.336
530,US-2016-138303,2016-03-09,07/09/2016,Standard Class,MG-18145,Mike Gockenbach,Consumer,United States,Philadelphia,Pennsylvania,19134.0,East,OFF-SU-10002881,Office Supplies,Supplies,Martin Yale Chadless Opener Electric Letter Opener,666.248
531,US-2016-138303,2016-03-09,07/09/2016,Standard Class,MG-18145,Mike Gockenbach,Consumer,United States,Philadelphia,Pennsylvania,19134.0,East,OFF-EN-10001335,Office Supplies,Envelopes,"White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes",52.512
532,CA-2016-102848,2016-07-11,09/11/2016,Second Class,KB-16240,Karen Bern,Corporate,United States,Los Angeles,California,90036.0,West,FUR-CH-10000595,Furniture,Chairs,Safco Contoured Stacking Chairs,190.72
538,CA-2016-147851,2016-03-12,08/12/2016,Standard Class,MP-17470,Mark Packer,Home Office,United States,New York City,New York,10009.0,East,OFF-BI-10004528,Office Supplies,Binders,Cardinal Poly Pocket Divider Pockets for Ring Binders,10.752
539,CA-2016-134894,2016-07-12,11/12/2016,Standard Class,DK-12985,Darren Koutras,Consumer,United States,Henderson,Kentucky,42420.0,South,OFF-AP-10001271,Office Supplies,Appliances,Eureka The Boss Cordless Rechargeable Stick Vac,152.94
540,CA-2016-134894,2016-07-12,11/12/2016,Standard Class,DK-12985,Darren Koutras,Consumer,United States,Henderson,Kentucky,42420.0,South,FUR-CH-10002647,Furniture,Chairs,"Situations Contoured Folding Chairs, 4/Set",283.92
541,CA-2015-140795,2015-01-02,03/02/2015,First Class,BD-11500,Bradley Drucker,Consumer,United States,Green Bay,Wisconsin,54302.0,Central,TEC-AC-10001432,Technology,Accessories,Enermax Aurora Lite Keyboard,468.9
544,CA-2015-103849,2015-11-05,16/05/2015,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Fort Worth,Texas,76106.0,Central,TEC-AC-10001465,Technology,Accessories,SanDisk Cruzer 64 GB USB Flash Drive,58.112
545,CA-2015-103849,2015-11-05,16/05/2015,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Fort Worth,Texas,76106.0,Central,TEC-PH-10002597,Technology,Phones,Xblue XB-1670-86 X16 SmallÂ Office TelephoneÂ - Titanium,100.792
546,CA-2015-103849,2015-11-05,16/05/2015,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Fort Worth,Texas,76106.0,Central,FUR-FU-10000723,Furniture,Furnishings,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",66.112
556,CA-2015-155852,2015-03-03,07/03/2015,Second Class,AJ-10945,Ashley Jarboe,Consumer,United States,Wilmington,North Carolina,28403.0,South,OFF-AR-10003560,Office Supplies,Art,Zebra Zazzle Fluorescent Highlighters,19.456
564,CA-2016-130736,2016-07-12,09/12/2016,First Class,JF-15490,Jeremy Farry,Consumer,United States,Seattle,Washington,98105.0,West,OFF-FA-10003467,Office Supplies,Fasteners,"Alliance Big Bands Rubber Bands, 12/Pack",3.96
565,CA-2016-130736,2016-07-12,09/12/2016,First Class,JF-15490,Jeremy Farry,Consumer,United States,Seattle,Washington,98105.0,West,OFF-LA-10000634,Office Supplies,Labels,Avery 509,2.61
581,CA-2016-132906,2016-10-09,14/09/2016,Standard Class,CC-12145,Charles Crestani,Consumer,United States,Los Angeles,California,90004.0,West,OFF-SU-10004498,Office Supplies,Supplies,Martin-Yale Premier Letter Opener,51.52
587,CA-2016-128139,2016-03-07,09/07/2016,Standard Class,BD-11725,Bruce Degenhardt,Consumer,United States,Richmond,Kentucky,40475.0,South,FUR-CH-10003956,Furniture,Chairs,Novimex High-Tech Fabric Mesh Task Chair,70.98
588,CA-2016-128139,2016-03-07,09/07/2016,Standard Class,BD-11725,Bruce Degenhardt,Consumer,United States,Richmond,Kentucky,40475.0,South,OFF-LA-10003930,Office Supplies,Labels,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",294.93
593,CA-2015-135405,2015-09-01,13/01/2015,Standard Class,MS-17830,Melanie Seite,Consumer,United States,Laredo,Texas,78041.0,Central,OFF-AR-10004078,Office Supplies,Art,Newell 312,9.344
594,CA-2015-135405,2015-09-01,13/01/2015,Standard Class,MS-17830,Melanie Seite,Consumer,United States,Laredo,Texas,78041.0,Central,TEC-AC-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 GB,31.2
595,CA-2015-131450,2015-08-08,15/08/2015,Standard Class,LR-16915,Lena Radford,Consumer,United States,San Diego,California,92024.0,West,OFF-AP-10004708,Office Supplies,Appliances,Fellowes Superior 10 Outlet Split Surge Protector,76.12
596,CA-2015-131450,2015-08-08,15/08/2015,Standard Class,LR-16915,Lena Radford,Consumer,United States,San Diego,California,92024.0,West,TEC-CO-10004115,Technology,Copiers,Sharp AL-1530CS Digital Copier,1199.976
597,CA-2015-131450,2015-08-08,15/08/2015,Standard Class,LR-16915,Lena Radford,Consumer,United States,San Diego,California,92024.0,West,TEC-PH-10002398,Technology,Phones,AT&T 1070 Corded Phone,445.96
598,CA-2015-131450,2015-08-08,15/08/2015,Standard Class,LR-16915,Lena Radford,Consumer,United States,San Diego,California,92024.0,West,FUR-FU-10001979,Furniture,Furnishings,Dana Halogen Swing-Arm Architect Lamp,327.76
636,CA-2016-168004,2016-04-10,09/10/2016,Second Class,DJ-13420,Denny Joy,Corporate,United States,Warner Robins,Georgia,31088.0,South,FUR-CH-10001482,Furniture,Chairs,Office Star - Mesh Screen back chair with Vinyl seat,392.94
686,CA-2015-157784,2015-05-07,08/07/2015,First Class,MC-17845,Michael Chen,Consumer,United States,Jackson,Mississippi,39212.0,South,TEC-AC-10003911,Technology,Accessories,NETGEAR AC1750 Dual Band GigabitÂ Smart WiFi Router,479.97
687,CA-2015-157784,2015-05-07,08/07/2015,First Class,MC-17845,Michael Chen,Consumer,United States,Jackson,Mississippi,39212.0,South,OFF-LA-10001934,Office Supplies,Labels,Avery 516,14.62
688,CA-2015-157784,2015-05-07,08/07/2015,First Class,MC-17845,Michael Chen,Consumer,United States,Jackson,Mississippi,39212.0,South,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,19.44
704,CA-2016-142027,2016-09-04,14/04/2016,Standard Class,JK-15370,Jay Kimmel,Consumer,United States,Long Beach,California,90805.0,West,FUR-TA-10002774,Furniture,Tables,Laminate Occasional Tables,369.912
705,CA-2015-138527,2015-12-09,17/09/2015,Standard Class,BN-11470,Brad Norvell,Corporate,United States,Cary,North Carolina,27511.0,South,OFF-PA-10001800,Office Supplies,Paper,Xerox 220,10.368
706,CA-2015-138527,2015-12-09,17/09/2015,Standard Class,BN-11470,Brad Norvell,Corporate,United States,Cary,North Carolina,27511.0,South,OFF-AP-10001469,Office Supplies,Appliances,Fellowes 8 Outlet Superior Workstation Surge Protector,166.84
707,CA-2015-138527,2015-12-09,17/09/2015,Standard Class,BN-11470,Brad Norvell,Corporate,United States,Cary,North Carolina,27511.0,South,TEC-AC-10002399,Technology,Accessories,SanDisk Cruzer 32 GB USB Flash Drive,15.216
708,CA-2015-112158,2015-02-12,04/12/2015,First Class,DP-13165,David Philippe,Consumer,United States,New York City,New York,10035.0,East,TEC-AC-10003628,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,119.96
709,CA-2015-112158,2015-02-12,04/12/2015,First Class,DP-13165,David Philippe,Consumer,United States,New York City,New York,10035.0,East,FUR-BO-10003272,Furniture,Bookcases,O'Sullivan Living Dimensions 5-Shelf Bookcases,883.92
